EmployeeID,Name,Department,Role,Tenure,JobSatisfaction,WorkLifeBalance,ManagerSupport,CareerGrowth,StressLevel,AttritionRisk,RiskBand
E0001,Vivek Kumar,HR,Executive,0,1,1,1,1,5,91.67,High
E0001,Employee_1,Finance,Entry Level,4,4,4,5,2,1,33.33,Low
E0002,Employee_2,Operations,Staff,8,4,5,2,1,5,62.5,Medium
E0003,Employee_3,IT,Senior Staff,9,4,3,5,5,2,34.17,Low
E0004,Employee_4,Operations,Executive,1,1,1,5,2,4,70.83,High
E0005,Employee_5,Operations,Senior Staff,1,1,1,5,4,2,55.83,Medium
E0006,Employee_6,Sales,Senior Staff,5,3,4,3,2,4,59.17,Medium
E0007,Employee_7,IT,Entry Level,8,4,5,5,3,2,32.5,Low
E0008,Employee_8,IT,Staff,0,5,1,5,2,4,54.17,Medium
E0009,Employee_9,IT,Manager,8,2,1,5,3,3,59.17,Medium
E0010,Employee_10,Operations,Staff,8,3,3,1,2,1,54.17,Medium
E0011,Employee_11,Finance,Staff,8,1,2,3,3,3,66.67,Medium
E0012,Employee_12,IT,Senior Staff,4,3,4,2,4,1,42.5,Medium
E0013,Employee_13,Marketing,Staff,8,3,4,1,5,3,53.33,Medium
E0014,Employee_14,Operations,Executive,10,3,2,4,3,3,55.0,Medium
E0015,Employee_15,Sales,Senior Staff,3,3,1,3,3,2,56.67,Medium
E0016,Employee_16,Finance,Executive,1,2,3,3,4,5,66.67,Medium
E0017,Employee_17,Marketing,Manager,5,4,3,4,3,4,52.5,Medium
E0018,Employee_18,Marketing,Senior Staff,3,5,4,4,1,4,50.0,Medium
E0019,Employee_19,Sales,Manager,5,3,3,4,4,4,54.17,Medium
E0020,Employee_20,Finance,Senior Staff,2,3,2,2,1,1,56.67,Medium
E0021,Employee_21,Operations,Entry Level,5,3,1,5,4,4,57.5,Medium
E0022,Employee_22,HR,Staff,1,4,2,3,3,4,59.17,Medium
E0023,Employee_23,Finance,Entry Level,1,1,5,5,1,2,50.0,Medium
E0024,Employee_24,Sales,Manager,8,1,4,5,3,3,53.33,Medium
E0025,Employee_25,Marketing,Staff,6,2,3,4,4,4,58.33,Medium
E0026,Employee_26,Operations,Senior Staff,2,1,5,2,3,5,70.0,High
E0027,Employee_27,Finance,Staff,10,3,3,1,1,4,71.67,High
E0028,Employee_28,HR,Executive,0,3,1,2,1,1,60.0,Medium
E0029,Employee_29,HR,Staff,7,3,1,5,3,1,45.0,Medium
E0030,Employee_30,IT,Executive,5,2,1,2,2,1,61.67,Medium
E0031,Employee_31,IT,Staff,6,3,3,4,4,4,54.17,Medium
E0032,Employee_32,Sales,Executive,8,1,5,1,4,2,55.83,Medium
E0033,Employee_33,Finance,Manager,4,4,1,4,3,5,64.17,Medium
E0034,Employee_34,Finance,Entry Level,0,4,5,1,2,4,58.33,Medium
E0035,Employee_35,Marketing,Senior Staff,9,5,3,5,1,2,40.0,Medium
E0036,Employee_36,Marketing,Staff,6,1,5,1,5,2,53.33,Medium
